Object;x inches;y inches;x mm,y mm
DIN5 IN;30,625000;-16,000000;30,625000;-16,000000
DIN5 INFixHole1;19,375000;-16,000000;19,375000;-16,000000
DIN5 INFixHole2;41,875000;-16,000000;41,875000;-16,000000
DIN5 OUT;60,025000;-16,000000;60,025000;-16,000000
DIN5 OUTFixHole1;48,775000;-16,000000;48,775000;-16,000000
DIN5 OUTFixHole2;71,275000;-16,000000;71,275000;-16,000000
ON/OFF;-46,550000;-16,000000;-46,550000;-16,000000
POWER;-63,700000;-16,000000;-63,700000;-16,000000
contour back border;0,000000;0,000000;0,000000;0,000000
text IN;30,625000;-6,000000;30,625000;-6,000000
text OUT;60,025000;-6,000000;60,025000;-6,000000
text POWER;-53,700000;-6,000000;-53,700000;-6,000000
textON/OFF;-46,550000;-6,000000;-46,550000;-6,000000
