Object;x inches;y inches;x mm,y mm
EncoderFixHole;57,500000;34,000000;57,500000;34,000000
LCD4x12;-43,750000;34,000000;-43,750000;34,000000
LCD4x20ScreenFootprint;-43,750000;34,000000;-43,750000;34,000000
boxFixHole1;-101,500000;61,500000;-101,500000;61,500000
boxFixHole2;-101,500000;-61,500000;-101,500000;-61,500000
boxFixHole3;101,500000;61,500000;101,500000;61,500000
boxFixHole4;101,500000;-61,500000;101,500000;-61,500000
frontPannel;0,000000;0,000000;0,000000;0,000000
key(0:0);32,375000;-44,125000;32,375000;-44,125000
key(0:1);32,375000;-27,375000;32,375000;-27,375000
key(0:2);32,375000;-10,625000;32,375000;-10,625000
key(0:3);32,375000;6,125000;32,375000;6,125000
key(1:0);49,125000;-44,125000;49,125000;-44,125000
key(1:1);49,125000;-27,375000;49,125000;-27,375000
key(1:2);49,125000;-10,625000;49,125000;-10,625000
key(1:3);49,125000;6,125000;49,125000;6,125000
key(2:0);65,875000;-44,125000;65,875000;-44,125000
key(2:1);65,875000;-27,375000;65,875000;-27,375000
key(2:2);65,875000;-10,625000;65,875000;-10,625000
key(2:3);65,875000;6,125000;65,875000;6,125000
key(3:0);82,625000;-44,125000;82,625000;-44,125000
key(3:1);82,625000;-27,375000;82,625000;-27,375000
key(3:2);82,625000;-10,625000;82,625000;-10,625000
key(3:3);82,625000;6,125000;82,625000;6,125000
keyboardFixHole1;2,750000;6,500000;2,750000;6,500000
