Object;x inches;y inches;x mm,y mm
Led_10_num;0,175000;0,066500;4,445000;1,689100
Led_11_num;0,525000;0,066500;13,335000;1,689100
Led_12_num;0,875000;0,066500;22,225000;1,689100
Led_13_num;1,225000;0,066500;31,115000;1,689100
Led_14_num;1,575000;0,066500;40,005000;1,689100
Led_15_num;1,925000;0,066500;48,895000;1,689100
Led_16_num;2,275000;0,066500;57,785000;1,689100
Led_1_num;-2,975000;0,066500;-75,565000;1,689100
Led_2_num;-2,625000;0,066500;-66,675000;1,689100
Led_3_num;-2,275000;0,066500;-57,785000;1,689100
Led_4_num;-1,925000;0,066500;-48,895000;1,689100
Led_5_num;-1,575000;0,066500;-40,005000;1,689100
Led_6_num;-1,225000;0,066500;-31,115000;1,689100
Led_7_num;-0,875000;0,066500;-22,225000;1,689100
Led_8_num;-0,525000;0,066500;-13,335000;1,689100
Led_9_num;-0,175000;0,066500;-4,445000;1,689100
boardFixHole1;-3,050000;0,800000;-77,470000;20,320000
boardFixHole2;-3,050000;-1,100000;-77,470000;-27,940000
boardFixHole3;3,150000;1,000000;80,010000;25,400000
boardFixHole4;3,150000;-1,200000;80,010000;-30,480000
boxFixHole1;-3,588000;2,238000;-91,135200;56,845200
boxFixHole2;-3,588000;-2,238000;-91,135200;-56,845200
boxFixHole3;3,588000;2,238000;91,135200;56,845200
boxFixHole4;3,588000;-2,238000;91,135200;-56,845200
button1;0,175000;-1,775000;4,445000;-45,085000
button2;0,875000;-1,775000;22,225000;-45,085000
button3;1,575000;-1,775000;40,005000;-45,085000
button4;2,275000;-1,775000;57,785000;-45,085000
button5;2,975000;-1,775000;75,565000;-45,085000
buttonGLOB;2,975000;0,425000;75,565000;10,795000
buttonLed1;0,175000;-2,325000;4,445000;-59,055000
buttonLed2;0,875000;-2,325000;22,225000;-59,055000
buttonLed3;1,575000;-2,325000;40,005000;-59,055000
buttonLed4;2,275000;-2,325000;57,785000;-59,055000
buttonLed5;2,975000;-2,325000;75,565000;-59,055000
buttonLedGLOB;3,235000;0,325000;82,169000;8,255000
buttonLedNEXT;2,975000;2,155000;75,565000;54,737000
buttonLedPLAY;-2,975000;-2,325000;-75,565000;-59,055000
buttonLedPREV;-1,575000;-2,325000;-40,005000;-59,055000
buttonLedREC.;-0,875000;-2,325000;-22,225000;-59,055000
buttonLedREST;-2,975000;2,155000;-75,565000;54,737000
buttonLedSEQ.;3,235000;-0,775000;82,169000;-19,685000
buttonLedSTOP;-2,275000;-2,325000;-57,785000;-59,055000
buttonLedSWITCH;-1,575000;2,155000;-40,005000;54,737000
buttonLedTIE;-2,275000;2,155000;-57,785000;54,737000
buttonNEXT;2,975000;1,525000;75,565000;38,735000
buttonPLAY;-2,975000;-1,775000;-75,565000;-45,085000
buttonPREV;-1,575000;-1,775000;-40,005000;-45,085000
